PART_NAME_LABEL,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330_044_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_044_2-S_HM_E_flute1_L_MOS_19_8_2020_9h26m54s.txt,Perugia
34330_044_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_044_2-S_HM_W_flute1_L_MOS_19_8_2020_11h18m18s.txt,Perugia
34330_044_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_044_2-S_HM_W_flute1_R_MOS_19_8_2020_11h25m51s.txt,Perugia
34330_044_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_044_2-S_HM_W_flute1_R_MOS_19_8_2020_11h25m51s.txt,Perugia
34330_044_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_044_2-S_HM_W_flute1_L_MOS_19_8_2020_11h18m18s.txt,Perugia
34330_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_E_flute1_R_MOS_18_8_2020_14h37m43s.txt,Perugia
34330_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_E_flute1_L_MOS_18_8_2020_14h30m4s.txt,Perugia
34330_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_E_flute1_R_MOS_18_8_2020_14h37m43s.txt,Perugia
34330_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_E_flute1_L_MOS_18_8_2020_14h30m4s.txt,Perugia
34330_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_W_flute1_R_MOS_18_8_2020_10h28m41s.txt,Perugia
34330_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_W_flute1_R_MOS_18_8_2020_10h28m41s.txt,Perugia
34330_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_W_flute1_L_MOS_18_8_2020_10h20m34s.txt,Perugia
34330_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_045_2-S_HM_W_flute1_L_MOS_18_8_2020_10h20m34s.txt,Perugia
34330_046_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_046_2-S_HM_E_flute1_R_MOS_6_8_2020_11h34m26s.txt,Perugia
