batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VFB_INV_V
34252,PSS,EE,Brown,Right,20.0,20.005,-1.659
34252,PSS,EE,Brown,Left,20.0,20.031,-1.563
34252,PSS,WW,Brown,Right,20.0,20.005,-1.678
34252,PSS,EE,Brown,Left,20.0,20.123,-1.632
34252,PSS,EE,Brown,Right,20.0,20.065,-1.729
34252,PSS,WW,Brown,Right,20.0,20.004,-1.768
34252,PSS,WW,Brown,Left,20.0,20.022,-1.65
34252,PSS,EE,Brown,Right,20.0,20.002,-1.707
34252,PSS,WW,Brown,Left,20.0,20.032,-1.626
34252,PSS,WW,Brown,Right,20.0,20.002,-1.775
34252,PSS,EE,Brown,Left,20.0,20.055,-1.584
34252,PSS,EE,Brown,Right,20.0,20.009,-1.71
34252,PSS,WW,Brown,Right,20.0,20.002,-1.719
34252,PSS,WW,Brown,Left,20.0,20.042,-1.596
34252,PSS,EE,Brown,Left,20.0,20.085,-1.591
34252,PSS,EE,Brown,Right,20.0,20.014,-1.696
34252,PSS,WW,Brown,Right,20.0,20.043,-1.709
34252,PSS,WW,Brown,Left,20.0,20.104,-1.623
34252,PSS,EE,Brown,Right,20.0,20.085,-1.722
34252,PSS,EE,Brown,Left,20.0,20.073,-1.605
34252,PSS,WW,Brown,Left,20.0,20.081,-1.63
34252,PSS,WW,Brown,Right,20.0,20.045,-1.741
34252,PSS,EE,Brown,Left,20.0,20.003,-1.655
34252,PSS,WW,Brown,Left,20.0,20.034,-1.664
34252,PSS,WW,Brown,Right,20.0,20.05,-1.759
34252,PSS,EE,Brown,Left,20.0,20.082,-1.635
34252,PSS,EE,Brown,Right,20.0,20.089,-1.763
34252,PSS,WW,Brown,Right,20.0,20.032,-1.768
34252,PSS,EE,Brown,Left,20.0,20.116,-1.612
34252,PSS,EE,Brown,Right,20.0,20.051,-1.724
34252,PSS,WW,Brown,Right,20.0,20.054,-1.709
34252,PSS,WW,Brown,Left,20.0,20.127,-1.633
34252,PSS,EE,Brown,Right,20.0,20.099,-1.707
34252,PSS,EE,Brown,Left,20.0,20.123,-1.593
34252,PSS,WW,Brown,Right,20.0,20.056,-1.698
34252,PSS,WW,Brown,Left,20.0,20.103,-1.593
34252,PSS,EE,Brown,Left,20.0,20.067,-1.57
34252,PSS,EE,Brown,Right,20.0,20.008,-1.708
34252,PSS,WW,Brown,Right,20.0,20.025,-1.676
34252,PSS,WW,Brown,Left,20.0,20.069,-1.621
34252,PSS,EE,Brown,Right,20.0,20.063,-1.77
34252,PSS,EE,Brown,Left,20.0,20.064,-1.578
34252,PSS,WW,Brown,Left,20.0,20.062,-1.66
34252,PSS,WW,Brown,Right,20.0,20.022,-1.72
34252,PSS,EE,Brown,Right,20.0,20.005,-1.684
34252,PSS,EE,Brown,Left,20.0,20.045,-1.561
34252,PSS,WW,Brown,Right,20.0,20.014,-1.675
34252,PSS,WW,Brown,Left,20.0,20.059,-1.654
34252,PSS,EE,Brown,Right,20.0,20.05,-1.695
34252,PSS,EE,Brown,Left,20.0,20.033,-1.557
